title,Year,Month,viewCount,likeCount,commentCount,durationSecs
Dinler afetleri nasıl açıklıyor? | Nedir Ne Değildir - 16 Mart 2023,2023,Mar,3810.0,85.0,15.0,7074.0
Konut fiyatları neden yükseliyor? Yavuz Barlas değerlendirdi,2023,Mar,2597.0,20.0,16.0,661.0
YSK'nin seyyar sandık kararı Resmi Gazete'de,2023,Mar,450.0,0.0,1.0,214.0
Seçmen sandığa giderken nelere bakıyor? Prof. Dr. Barış Doster ve Faruk Aksoy değerlendirdi.,2023,Mar,548.0,2.0,2.0,2424.0
Tarım arazileri imara mı açılıyor?,2023,Mar,399.0,0.0,5.0,159.0
Kemal Kılıçdaroğlu'nun HDP görüşmesi neden ertelendi? Detayları Mahir Kılıç aktardı,2023,Mar,4826.0,19.0,16.0,186.0
Kılıçdaroğlu İsias Hotel’de ölenler için KKTC'de,2023,Mar,562.0,0.0,3.0,63.0
Kentsel dönüşüm kredisinin taksitleri ne kadar olacak? Kimler yararlanabilecek? Nihat Şen yanıtladı,2023,Mar,801.0,5.0,2.0,545.0
Bakanlar afetin yaşandığı Şanlıurfa'da bilançoyu açıkladı,2023,Mar,507.0,2.0,1.0,108.0
Duhok'ta düşen helikopter kime ait?,2023,Mar,3678.0,21.0,13.0,106.0
YSK Başkanı Yener'den seçim hakkında açıklama,2023,Mar,805.0,15.0,7.0,66.0
"Akdeniz'de korkutan deprem! Mersin'de 4,3 büyüklüğünde deprem!",2023,Mar,4293.0,35.0,6.0,55.0
Meteoroloji'den hava durumu uyarısı!,2023,Mar,4143.0,48.0,8.0,484.0
ABD kar fırtınasının etkisinin altında kaldı...,2023,Mar,1534.0,7.0,2.0,79.0
Mark Milley'den Suriye ziyaretine ilişkin açıklama,2023,Mar,586.0,2.0,3.0,95.0
El Salvador'un en tehlikeli suçluları böyle nakledildi!,2023,Mar,1838.0,15.0,1.0,92.0
"Deprem, tarımı nasıl etkileyecek? | Özel Röportaj - 16 Mart 2023",2023,Mar,824.0,2.0,3.0,5928.0
#CANLI - Diyanet İşleri Eski Başkanı Mehmet Görmez Habertürk TV'de...,2023,Mar,14910.0,137.0,28.0,3158.0
Diyanet’in “Evlatlık” fetvasını nasıl açıklıyor? Prof. Dr. Mehmet Görmez yanıtladı,2023,Mar,7277.0,45.0,28.0,748.0
Bilim ve din depreme nasıl bakıyor? Prof. Dr. Mehmet Görmez yanıtladı,2023,Mar,1140.0,23.0,4.0,843.0
#CANLI - Diyanet İşleri Eski Başkanı Mehmet Görmez Habertürk TV'de...,2023,Mar,5559.0,33.0,3.0,1237.0
Dinler afetleri nasıl açıklıyor? Prof. Dr. Mehmet Görmez yanıtladı,2023,Mar,881.0,7.0,2.0,247.0
#CANLI - Diyanet İşleri Eski Başkanı Mehmet Görmez Habertürk TV'de...,2023,Mar,7815.0,71.0,7.0,2607.0
“Neden Ben” sorusuna yanıtı ne oldu? Prof. Dr. Mehmet Görmez yanıtladı,2023,Mar,5175.0,53.0,27.0,683.0
Deprem bölgesinden izlenimleri neler? Prof. Dr. Mehmet Görmez yanıtladı,2023,Mar,1152.0,15.0,1.0,466.0
Depremde barajlar zarar gördü mü?  Prof. Dr. Vahit Kirişci yanıtladı,2023,Mar,951.0,5.0,3.0,672.0
#CANLI - Tarım Bakanı Prof. Dr. Vahit Kirişci Habertürk TV'de...,2023,Mar,1823.0,7.0,1.0,404.0
#CANLI - Tarım Bakanı Prof. Dr. Vahit Kirişci Habertürk TV'de...,2023,Mar,3847.0,14.0,7.0,2567.0
Depremzede çiftçiler ne durumda? Prof. Dr. Vahit Kirişci yanıtladı,2023,Mar,708.0,3.0,6.0,1133.0
"Deprem, tarıma ne kadar zarar verdi? Prof. Dr. Vahit Kirişci yanıtladı",2023,Mar,862.0,3.0,2.0,353.0
Tarım arazisine konut mu yapılıyor? Prof. Dr. Vahit Kirişci yanıtladı,2023,Mar,939.0,8.0,1.0,684.0
#CANLI - Tarım Bakanı Prof. Dr. Vahit Kirişci Habertürk TV'de...,2023,Mar,6784.0,19.0,11.0,2759.0
Deprem bölgesinde son durum ne? Prof. Dr. Vahit Kirişci yanıtladı,2023,Mar,608.0,2.0,3.0,756.0
Sel felaketinde son durum ne? Prof. Dr. Vahit Kirişci yanıtladı,2023,Mar,7395.0,16.0,25.0,414.0
#CANLI - Cumhurbaşkanı Erdoğan konuşuyor,2023,Mar,2622.0,23.0,5.0,1030.0
Bankacılık krizi dünyaya yayılır mı? Dr. Şeref Oğuz yanıtladı,2023,Mar,1058.0,5.0,1.0,1063.0
Muharrem İnce’nin denkleme etkisi ne olacak? | HT 360 - 16 Mart 2023,2023,Mar,3714.0,25.0,3.0,3125.0
Deprem bölgesinde seçim nasıl olacak? Dr. Rezan Epözdemir yanıtladı,2023,Mar,527.0,0.0,0.0,1676.0
Ramazan pidesi ne kadar olacak?,2023,Mar,1145.0,3.0,2.0,90.0
Moskova buluşması neden ertelendi? Çetiner Çetin değerlendirdi,2023,Mar,660.0,4.0,3.0,804.0
14 Mayıs'a ittifaklar nasıl gidiyor? Prof. Dr. Yaşar Hacısalihoğlu ve Orhan Bursalı değerlendirdi,2023,Mar,1497.0,4.0,1.0,2050.0
CANLI - AFAD Deprem ve Risk Azaltma Genel Müdürü Orhan Tatar konuşuyor,2023,Mar,844.0,2.0,0.0,225.0
Yumurta fiyatı neden arttı? Yumurtanın fiyatı ne olacak? Aydın Ağaoğlu değerlendirdi,2023,Mar,3433.0,17.0,12.0,379.0
ABD’deki iflas krizi küresel piyasaları nasıl etkiler? | Para Gündem - 16 Mart 2023,2023,Mar,805.0,3.0,1.0,5273.0
Deprem felaketi seçimi nasıl etkiler? | Habertürk Gündem - 15 Mart 2023,2023,Mar,2134.0,9.0,5.0,15336.0
İflas dalgası hangi ülkeleri vurur? Doç. Dr. Murat Turgut ve Doç. Dr. Atılım Murat yanıtladı,2023,Mar,1093.0,4.0,2.0,980.0
"Bolu'da 4,8 büyüklüğünde deprem...",2023,Mar,11771.0,59.0,19.0,356.0
Altın fiyatları neden yükseliyor? Mehmet Ali Yıldırımtürk değerlendirdi,2023,Mar,13823.0,60.0,8.0,301.0
"Bakan Bilgin: ""Geçici işçi düzenlemesi Meclis'te""",2023,Mar,7864.0,73.0,75.0,42.0
"#CANLI - Cumhurbaşkanı Recep Tayyip Erdoğan, Türk Devletleri Teşkilatı Zirvesi'nde konuşuyor",2023,Mar,3284.0,36.0,10.0,743.0
Depreme ve sele karşı nasıl tedbirler alınmalı? Prof. Dr. Mehmet Şahin değerlendirdi,2023,Mar,402.0,1.0,3.0,580.0
"Son Dakika... AK Parti, Cumhurbaşkanlığı adaylığı için grup kararı aldı!",2023,Mar,10760.0,13.0,27.0,28.0
"Siyasette ""aşevi"" tartışması... Dr. Ali Haydar Fırat değerlendirdi",2023,Mar,1776.0,5.0,3.0,481.0
TOGG için ön sipariş nasıl veriliyor? Oğuzcan Obuz aktardı,2023,Mar,5898.0,32.0,26.0,257.0
Deprem bölgesi nasıl ayağa kaldırılacak? Hikmet Çinçin değerlendirdi,2023,Mar,241.0,0.0,1.0,521.0
#CANLI - İstanbul Büyükşehir Belediye Başkanı Ekrem İmamoğlu konuşuyor,2023,Mar,6224.0,33.0,20.0,1372.0
"Londra polisi, İngiltere Başbakanı Sunak'ı uyardı!",2023,Mar,690.0,6.0,4.0,88.0
Hukuk firması ‘robot avukat’ı dava etti!,2023,Mar,621.0,18.0,5.0,122.0
Şubat ayı bütçe giderleri açıklandı! Yavuz Barlas değerlendirdi,2023,Mar,522.0,10.0,0.0,386.0
Şanlıurfa'daki son gelişmeleri Gizem Türemen aktardı,2023,Mar,1416.0,20.0,5.0,424.0
Habertürk Gündem'de seçim yarışındaki son durum konuşuluyor...,2023,Mar,40686.0,110.0,62.0,5100.0
"Seçimi Erdoğan mı, Kılıçdaroğlu mu kazanacak?  Burhanettin Bulut yanıtladı",2023,Mar,3055.0,12.0,4.0,633.0
Cumhur İttifakı genişleyecek mi? Faruk Aksoy yanıtladı,2023,Mar,3743.0,11.0,15.0,429.0
Habertürk Gündem'de seçim yarışındaki son durum konuşuluyor...,2023,Mar,19207.0,46.0,24.0,2153.0
HÜDA PAR ittifak oyunu artırır mı? Mehmet Ali Kulat yanıtladı,2023,Mar,76917.0,315.0,75.0,457.0
